ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.814.002.690,CwBthTLewHbwLtbqk,192.168.0.66,53518,192.168.0.4,2107,tcp,-,1.028.403,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.002.800,CDj6xM3kzZDAAa5Nej,192.168.0.66,37956,192.168.0.4,81,tcp,-,1.028.290,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.002.800,CMUCzxfnTu2nTsi27,192.168.0.66,48768,192.168.0.4,1108,tcp,-,1.028.287,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.002.810,C9Qsda3O8bYAbY5fy8,192.168.0.66,44436,192.168.0.4,2009,tcp,-,1.028.283,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.530,Cx520x3dpRhUxGZr77,192.168.0.66,51400,192.168.0.4,6101,tcp,-,1.062.663,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.530,CpvZNE28PC7Go754Kc,192.168.0.66,33554,192.168.0.4,1071,tcp,-,1.062.661,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.530,Cm3sblJ4gQImAdDUl,192.168.0.66,56870,192.168.0.4,4443,tcp,-,1.062.659,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.530,CWM9h1UPHJ0WDa5Ql,192.168.0.66,49604,192.168.0.4,2604,tcp,-,1.062.657,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.530,C2wP4r4QOycCVGA2E1,192.168.0.66,38308,192.168.0.4,1061,tcp,-,1.062.655,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.820,C8CSmI3nA5DMVCf9D6,192.168.0.66,45170,192.168.0.4,34572,tcp,-,1.062.369,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.820,CfNHYg2UYR9zYZwiY3,192.168.0.66,36984,192.168.0.4,500,tcp,-,1.062.189,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.096.820,CIR15h1kHdDKU21Xof,192.168.0.66,41106,192.168.0.4,8007,tcp,-,1.062.185,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.814.160.490,C54kiWnQYzv6flg59,192.168.0.66,59184,192.168.0.4,1148,tcp,-,1.062.504,0,0,S0,T,T,0,S,2,120,0,0,-
