ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.109.040,ClBuA36V5awplSN6j,192.168.0.66,35075,192.168.0.4,143,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.040,CERpOW2WkuJ1Po8eB9,192.168.0.66,35075,192.168.0.4,1720,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.050,CSnxZr2QlaRSLOuvm3,192.168.0.66,35075,192.168.0.4,21,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.050,CkA0ez1OnuLLDUWCG2,192.168.0.66,35075,192.168.0.4,256,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,ClOzIX2AzViCvzhZv4,192.168.0.66,35075,192.168.0.4,3389,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,CF7mFoSjL4hK699kc,192.168.0.66,35075,192.168.0.4,199,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,CzpOZh4Q0lekuKNK6h,192.168.0.66,35075,192.168.0.4,139,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,COgFfD4RZzy956RXL9,192.168.0.66,35075,192.168.0.4,554,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,C9aBHX2YXCj0zSW13k,192.168.0.66,35075,192.168.0.4,111,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.109.340,CtY6Jdk0gXCWNLl8a,192.168.0.66,35075,192.168.0.4,445,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.111.510,CJQMcDq206noSltY3,192.168.0.66,35073,192.168.0.4,80,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.330,CXvFgw2v5UwKnwwGUj,192.168.0.66,35073,192.168.0.4,5900,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.330,CSJ4jaqqZn5ps4Kv7,192.168.0.66,35073,192.168.0.4,1723,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.209.330,CgXwpi36vfsifr7Iy7,192.168.0.66,35073,192.168.0.4,995,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
