ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.916.960.710,C1Z7Nr4z9QUNAR8pzd,192.168.0.66,39736,192.168.0.4,515,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.917.352.360,CpT7PN3l837jqCR9j1,173.249.44.182,31940,192.168.0.4,6881,udp,-,770,95,310,SF,F,T,0,Dd,1,123,1,338,-
1.726.892.917.985.460,C36EYF1ZUCrTj9zXU4,1.162.136.166,24046,192.168.0.4,6881,udp,-,670,98,303,SF,F,T,0,Dd,1,126,1,331,-
1.726.892.918.062.840,CcEpE93OaNxe1iNeB7,192.168.0.66,39738,192.168.0.4,31365,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.918.062.850,Cojt3MwDkuwOPzcl7,192.168.0.66,39738,192.168.0.4,515,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.918.062.850,CB0jFI23C0YwOFG4Ge,192.168.0.66,39738,192.168.0.4,21649,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.918.202.110,Cs883p2Lv1wJKgGZ64,142.215.164.105,6882,192.168.0.4,6881,udp,-,665,95,309,SF,F,T,0,Dd,1,123,1,337,-
1.726.892.918.521.300,CeTZzK16TfMQsZDC7d,192.168.0.4,6881,5.189.160.21,33333,udp,-,-,-,-,S0,T,F,0,D,1,132,0,0,-
1.726.892.919.164.950,C8MiRA1zGIr8NtVqW7,192.168.0.66,39740,192.168.0.4,21649,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
1.726.892.919.164.950,CKQeJa2cDzdMJwDSW7,192.168.0.66,39740,192.168.0.4,515,udp,-,-,-,-,S0,T,T,0,D,1,28,0,0,-
