id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes
127.0.0.1	47310	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	26841	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	48248	127.0.0.1	48248	tcp	-	-	-	-
127.0.0.1	46114	127.0.0.1	5037	tcp	-	-	-	-
127.0.0.1	50042	127.0.0.1	631	tcp	-	-	-	-
127.0.0.1	59986	127.0.0.1	36813	tcp	-	-	-	-
127.0.0.1	42677	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	55677	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	58374	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	5260	127.0.0.53	53	udp	-	-	-	-
127.0.0.1	41912	127.0.0.1	24589	tcp	-	0.000002	0	0
127.0.0.1	55386	127.0.0.1	55764	tcp	-	0.000002	0	0
127.0.0.1	52006	127.0.0.1	47118	tcp	-	0.000002	0	0
127.0.0.1	55120	127.0.0.1	29655	tcp	-	0.000002	0	0
127.0.0.1	43070	127.0.0.1	20254	tcp	-	0.000002	0	0
127.0.0.1	46898	127.0.0.1	33078	tcp	-	0.000001	0	0
127.0.0.1	41488	127.0.0.1	40968	tcp	-	0.000002	0	0
127.0.0.1	55456	127.0.0.1	38980	tcp	-	0.000002	0	0
127.0.0.1	45728	127.0.0.1	19096	tcp	-	0.000001	0	0
127.0.0.1	48266	127.0.0.1	3662	tcp	-	0.000002	0	0
127.0.0.1	57900	127.0.0.1	6499	tcp	-	0.000002	0	0
127.0.0.1	49694	127.0.0.1	36076	tcp	-	0.000002	0	0
127.0.0.1	40108	127.0.0.1	1910	tcp	-	0.000002	0	0
127.0.0.1	55112	127.0.0.1	63725	tcp	-	0.000002	0	0
127.0.0.1	38208	127.0.0.1	34824	tcp	-	0.000002	0	0
127.0.0.1	48336	127.0.0.1	6461	tcp	-	0.000001	0	0
127.0.0.1	45984	127.0.0.1	708	tcp	-	0.000002	0	0
127.0.0.1	36344	127.0.0.1	63412	tcp	-	0.000002	0	0
127.0.0.1	35690	127.0.0.1	9360	tcp	-	0.000001	0	0
127.0.0.1	45882	127.0.0.1	33946	tcp	-	0.000001	0	0
127.0.0.1	39048	127.0.0.1	4354	tcp	-	0.000002	0	0
127.0.0.1	40588	127.0.0.1	48643	tcp	-	0.000001	0	0
127.0.0.1	52960	127.0.0.1	55638	tcp	-	0.000002	0	0
127.0.0.1	39896	127.0.0.1	23011	tcp	-	0.000002	0	0
127.0.0.1	53230	127.0.0.1	50415	tcp	-	0.000002	0	0
127.0.0.1	39122	127.0.0.1	48499	tcp	-	0.000002	0	0
127.0.0.1	46574	127.0.0.1	10684	tcp	-	0.000002	0	0
127.0.0.1	59444	127.0.0.1	45808	tcp	-	0.000001	0	0
127.0.0.1	51198	127.0.0.1	12315	tcp	-	0.000002	0	0
127.0.0.1	38454	127.0.0.1	39161	tcp	-	0.000002	0	0
127.0.0.1	43244	127.0.0.1	47467	tcp	-	0.000002	0	0
